A;142;20010720 10:12;PDANN;
D;142;1514076;53;20010720 10:12;P;;;;;;
D;142;1514076;53;20010720 10:12;P;;;;;;
D;142;1514076;53;20010720 10:12;V;;;;;;
B;142;1514145;54;20010720 10:12;;;4;BOOTH ST;ARNCLIFFE;2205;;;20010207;20010321;230000;A;3;;;XJ;;;7487903;
C;142;1514145;54;20010720 10:12;1//797556 14/2/974988;
D;142;1514145;54;20010720 10:12;P;;;;;;
D;142;1514145;54;20010720 10:12;V;;;;;;
B;142;1514228;55;20010720 10:12;;;13;BOWMER ST;BANKSIA;2216;;;20010320;20010518;330000;A;R;;;XQ;;;7673399;
C;142;1514228;55;20010720 10:12;31/D/1771;
D;142;1514228;55;20010720 10:12;P;;;;;;
D;142;1514228;55;20010720 10:12;P;;;;;;
D;142;1514228;55;20010720 10:12;V;;;;;;
D;142;1514228;55;20010720 10:12;V;;;;;;
B;142;1514464;56;20010720 10:12;;7;62;BRUCE ST;BEXLEY;2207;;;20010501;20010608;305000;;R;;7;;;;7693258;
C;142;1514464;56;20010720 10:12;7//SP 34750;
D;142;1514464;56;20010720 10:12;P;;;;;;
D;142;1514464;56;20010720 10:12;V;;;;;;
D;142;1514464;56;20010720 10:12;V;;;;;;
B;142;1514668;57;20010720 10:12;;;102;BRUCE ST;BRIGHTON-LE-SANDS;2216;;;20010307;20010327;105000;A;R;;;XE;;;7717809;
C;142;1514668;57;20010720 10:12;14//14868;
D;142;1514668;57;20010720 10:12;P;;;;;;
B;142;1514668;58;20010720 10:12;;;102;BRUCE ST;BRIGHTON-LE-SANDS;2216;;;20010430;20010430;0;A;R;;;XE;;;7717810;
C;142;1514668;58;20010720 10:12;14//14868;
D;142;1514668;58;20010720 10:12;P;;;;;;
D;142;1514668;58;20010720 10:12;P;;;;;;
D;142;1514668;58;20010720 10:12;V;;;;;;
B;142;1514778;59;20010720 10:12;;;27;BRUCE ST;BRIGHTON-LE-SANDS;2216;;;20010424;20010511;260000;A;R;;;XE;;;7664446;
C;142;1514778;59;20010720 10:12;25/4/1801;
D;142;1514778;59;20010720 10:12;P;;;;;;
D;142;1514778;59;20010720 10:12;V;;;;;;
D;142;1514778;59;20010720 10:12;V;;;;;;
B;142;1514796;60;20010720 10:12;;5;9;BRUCE ST;BRIGHTON-LE-SANDS;2216;;;20010619;20010619;295000;;3;Other;5;;;;7698180;
C;142;1514796;60;20010720 10:12;5//4235;
D;142;1514796;60;20010720 10:12;P;;;;;;
D;142;1514796;60;20010720 10:12;V;;;;;;
B;142;1514796;61;20010720 10:12;;23;9;BRUCE ST;BRIGHTON-LE-SANDS;2216;;;20010619;20010619;295000;;3;Other;23;;;;7698180;
C;142;1514796;61;20010720 10:12;23//4235;
D;142;1514796;61;20010720 10:12;P;;;;;;
D;142;1514796;61;20010720 10:12;V;;;;;;
B;142;1514879;62;20010720 10:12;;;40;BRYANT ST;ROCKDALE;2216;316.2;M;20010313;20010313;0;A;R;;;XG;;;7673322;
C;142;1514879;62;20010720 10:12;8/C/2099;
D;142;1514879;62;20010720 10:12;P;;;;;;
D;142;1514879;62;20010720 10:12;V;;;;;;
B;142;1514986;63;20010720 10:12;;2;18;BURLINGTON ST;MONTEREY;2217;;;20010221;20010418;325500;;R;;2;;;;7668378;
C;142;1514986;63;20010720 10:12;2//6999;
D;142;1514986;63;20010720 10:12;P;;;;;;
D;142;1514986;63;20010720 10:12;P;;;;;;
D;142;1514986;63;20010720 10:12;V;;;;;;
